,name,price,rating,dis_ends,dis_start,release,discount
194,Bird,1.37 SR,78.21%,in 11 days,9 days ago,10 months ago,-50%
195,"Fleet Command
lowest price is 4.95 SR at -85%",6.60 SR,78.17%,,,,-80%
196,"Jake's Love Story
lowest price is 1.43 SR at -82%",2.19 SR,78.13%,,,,-90%
197,"Hearthlands
lowest price is 13.98 SR at -60%",17.47 SR,78.11%,,,,-50%
198,Chess Valley,1.37 SR,78.11%,,,,-50%
199,"The Last Haven
lowest price is 20.97 SR at -40%",22.71 SR,78.06%,,,,-35%
200,KumaKuma Manga Editor,5.58 SR,77.99%,in 13 days,yesterday,3 years ago,-60%
201,"Abda Redeemer: Space alien invasion
new historical low",8.36 SR,77.87%,in 6 days,8 days ago,last month,-30%
202,"Shinobi Shift
new historical low",6.96 SR,77.87%,in 11 days,9 days ago,2 months ago,-30%
203,Shutter Nyang,20.96 SR,77.77%,in 12 days,9 days ago,9 months ago,-30%
204,Ballway,1.37 SR,77.65%,in 12 days,2 days ago,4 years ago,-50%
205,Endless Jade Sea -Midori no Umi-,2.10 SR,77.64%,in 13 days,yesterday,3 years ago,-60%
206,"Fortissimo FA
lowest price is 4.39 SR at -80%",6.58 SR,77.63%,in 13 days,yesterday,4 years ago,-70%
207,TTV3,1.37 SR,77.52%,in 2 days,25 days ago,2 years ago,-50%
208,Demonic Blade,2.19 SR,77.41%,in 14 days,4 hours ago,2 years ago,-90%
209,Peaceful Gunner,1.37 SR,77.41%,in 11 days,9 days ago,10 months ago,-50%
210,Sky Goddess Ⅱ,5.47 SR,77.41%,in 12 days,9 days ago,8 months ago,-45%
211,"Butterfly
lowest price is 1.41 SR at -73%",1.43 SR,77.40%,in 13 days,yesterday,3 years ago,-88%
212,"!""DEPLOYMENT""!
lowest price is 1.59 SR at -90%",3.79 SR,77.29%,in 12 days,9 days ago,4 years ago,-90%
213,"Big Tower Tiny Square
lowest price is 1.37 SR at -50%",1.65 SR,77.24%,in 3 days,11 days ago,4 years ago,-40%
214,"Tank Warfare: Tunisia 1943
lowest price is 10.40 SR at -90%",20.80 SR,77.19%,in 13 days,yesterday,5 years ago,-80%
215,Cute Dark Elves,1.37 SR,77.09%,in 12 days,2 days ago,7 months ago,-50%
216,"Soulstopia -PHI-
lowest price is 4.77 SR at -40%",6.36 SR,77.00%,in 12 days,2 days ago,2 months ago,-20%
217,Crown of the Empire,1.43 SR,76.90%,,,,-88%
218,TRF - The Race Factory,5.97 SR,76.90%,,,,-50%
219,"UPH!
new historical low",1.37 SR,76.90%,,,,-50%
220,"SOMETHING
new historical low",9.56 SR,76.90%,,,,-20%
221,"Space Empires IV Deluxe
lowest price is 3.30 SR at -90%",11.20 SR,76.64%,,,,-80%
222,√Letter - Root Letter -,7.28 SR,76.38%,in 14 days,2 hours ago,5 years ago,-87%
223,"Taboos: Cracks
lowest price is 1.37 SR at -50%",1.65 SR,76.25%,in 14 days,14 hours ago,3 years ago,-40%
224,"URUZ ""Return of The Er Kishi""
new historical low",5.69 SR,76.19%,in 11 days,3 days ago,14 months ago,-70%
225,"aMAZE
lowest price is 1.37 SR at -66%",1.40 SR,76.16%,in 13 days,yesterday,5 years ago,-65%
226,Mirror Maker,2.62 SR,76.14%,in 13 days,yesterday,3 years ago,-50%
227,Get Out! Snakes!,1.37 SR,76.13%,in 3 days,11 days ago,14 months ago,-50%
228,"Bad Dream: Stories
new historical low",9.56 SR,76.13%,in 12 days,2 days ago,2 months ago,-20%
229,"Super Star
lowest price is 1.75 SR at -75%",2.10 SR,76.06%,in 13 days,yesterday,5 years ago,-70%
230,TinShift,10.97 SR,75.99%,in 13 days,yesterday,6 months ago,-50%
231,Hentai Killer,1.38 SR,75.98%,in 12 days,9 days ago,2 years ago,-49%
232,Seek Girl Ⅵ,3.67 SR,75.95%,in 14 days,4 hours ago,14 months ago,-30%
233,单身狗的最后机会,1.37 SR,75.77%,in 7 days,7 days ago,8 months ago,-50%
234,My Silly Life,1.37 SR,75.77%,in 12 days,9 days ago,16 months ago,-50%
235,"Rubber Bandits
new historical low",31.45 SR,75.74%,in 6 days,yesterday,2 days ago,-10%
236,Mustache in Hell,1.37 SR,75.72%,in 14 days,4 hours ago,5 years ago,-50%
237,"TatuBall: A Minimalist LoFi Puzzle
new historical low",3.67 SR,75.71%,in 5 days,9 days ago,2 months ago,-30%
238,"末日竟在我身边2 - Zombies Everywhere 2
new historical low",10.46 SR,75.71%,in 20 hours,13 days ago,2 months ago,-25%
239,"// OVERDRIVE
new historical low",6.36 SR,75.71%,,,,-20%
240,Asterix & Obelix XXL 2,7.04 SR,75.67%,,,,-85%
241,"Oracle Trials
lowest price is 3.81 SR at -52%",3.97 SR,75.64%,,,,-50%
242,Tavern of Gods,19.84 SR,75.63%,,,,-29%
243,Candle,2.99 SR,75.59%,,,,-90%
244,"Hot Vacation
new historical low",1.87 SR,75.53%,in 13 days,yesterday,2 months ago,-32%
245,"The Ascent
new historical low",84.42 SR,75.51%,in 13 days,yesterday,4 months ago,-33%
246,"Romancing SaGa 3™
new historical low",32.70 SR,75.34%,in 6 days,7 days ago,2 years ago,-70%
247,Agatha Christie - Hercule Poirot: The First Cases,36.76 SR,75.29%,in 5 days,2 days ago,2 months ago,-20%
248,Lovely Warriors,1.37 SR,75.24%,in 12 days,9 days ago,11 months ago,-50%
249,aMAZE Classic,1.37 SR,75.14%,in 13 days,yesterday,4 years ago,-50%
250,"The Shapeshifting Detective
lowest price is 13.47 SR at -50%",16.17 SR,75.11%,in 12 days,2 days ago,3 years ago,-40%
251,Blocky McBlockFace,1.37 SR,75.00%,in 20 hours,6 days ago,3 years ago,-50%
252,"Herder
new historical low",7.17 SR,75.00%,in 8 days,6 days ago,4 months ago,-40%
253,"Underwater World
new historical low",1.65 SR,75.00%,in 7 days,3 hours ago,22 hours ago,-40%
254,Wildlife Match,12.76 SR,75.00%,in 13 days,yesterday,5 months ago,-20%
255,Soccering,1.37 SR,74.99%,in 6 days,8 days ago,16 months ago,-49%
256,"Floor is Lava
new historical low",25.45 SR,74.99%,in 3 days,4 days ago,5 days ago,-15%
257,STRAY KITTEN,1.37 SR,74.98%,in 14 days,4 hours ago,10 months ago,-50%
258,Capitalism Plus,10.50 SR,74.76%,in 12 days,9 days ago,27 years ago,-50%
259,Meatball,1.37 SR,74.76%,in 7 days,4 hours ago,12 months ago,-50%
260,Dandara: Trials of Fear Edition,6.88 SR,74.75%,in 5 days,4 hours ago,4 years ago,-77%
261,"Gachi Bird
new historical low",1.65 SR,74.63%,,,,-40%
262,TinyShot,8.78 SR,74.51%,,,,-60%
263,"Override: Mech City Brawl
lowest price is 4.69 SR at -90%",8.73 SR,74.46%,,,,-75%
264,Among Ass 2: Butt Warfare,3.15 SR,74.44%,,,,-40%
265,"末日竟在我身边 - Zombies Everywhere
lowest price is 1.65 SR at -40%",3.97 SR,74.40%,in 12 days,9 days ago,10 months ago,-50%
266,Death Jump,1.41 SR,74.37%,in 12 days,9 days ago,3 years ago,-73%
267,Living together with Fox Demon,21.56 SR,74.33%,in 11 days,9 days ago,4 months ago,-20%
268,Cute Nurses,1.37 SR,74.19%,in 12 days,9 days ago,2 months ago,-50%
269,WIN THE GAME: WTF!,1.37 SR,74.16%,in 12 days,9 days ago,4 years ago,-50%
270,Flashback,2.19 SR,74.09%,in 5 days,2 days ago,3 years ago,-90%
271,Lawnmower Game: Battle,1.41 SR,74.03%,in 12 days,2 days ago,2 months ago,-73%
272,Thanksgiving Day Mosaic,1.43 SR,73.89%,in 3 days,4 days ago,3 years ago,-88%
273,Choco Pixel 2,1.41 SR,73.89%,in 13 days,yesterday,2 years ago,-73%
274,Alpha Runner,1.40 SR,73.89%,in 10 days,4 days ago,6 years ago,-65%
275,Vairon's Wrath,21.00 SR,73.89%,in 14 days,4 hours ago,6 years ago,-50%
276,Cursed Dungeon,1.37 SR,73.89%,in 14 days,4 hours ago,2 months ago,-50%
